word,translation,phonetic,pos,tag,total,spoken_ratio,academic_ratio,cefr_standard,difficulty_level,learning_level,dataset_type
defend,"vt. 防护, 辩护, 防卫\n[法] 作...的辩护律师, 辩护, 为...答辩",(di'fend),v,高考 四级 六级 考研 托福,22172,0.2725058632509471,0.2112574418185098,B1,3,中级,cet4
tip,"n. 顶, 尖端, 梢, 末端, 倾斜, 垃圾场, 小费, 轻击, 指点, 秘密消息\nvt. 装顶端, 使倾斜, 使翻倒, 泄露, 告诫, 暗示, 给...小费, 轻击\nvi. 倾斜, 翻倒, 倾覆, 踮脚走, 给小费\n[计] 终端接口处理器, 提示, 技巧",(tip),n,高考 四级 六级 考研 托福,20813,0.1234324700908086,0.0966703502618555,A1,1,初级,cet4
domestic,"a. 家庭的, 国内的, 驯养的\n[医] 家庭的, 家用的",(dәu'mestik),j,四级 六级 考研 托福 雅思,26234,0.1697415567584051,0.4174353891896012,B1,3,中级,cet4
surprise,"n. 惊奇, 奇袭, 诧异\nvt. 使惊奇, 撞见, 奇袭",(sә'praiz),n,中考 高考 雅思,24338,0.1991535869833182,0.0922014956035828,B1,3,中级,cet4
sugar,"n. 糖, 糖块, 甜言蜜语\nvt. 加糖于, 使甜蜜, 粉饰, 美化\nvi. 制成糖",('ʃugә),n,中考 高考 托福 雅思,28327,0.0713453595509584,0.0507289864793306,A1,1,初级,cet4
direct,"a. 直接的, 坦白的\nvt. 指示, 指挥, 命令, 导演\nvi. 指导, 指挥\nadv. 直接地",(di'rekt),j,中考 高考 四级 六级 考研 托福 雅思,27915,0.123123768583199,0.4735088662009672,B1,3,中级,cet4
fix,"vt. 使固定, 修理, 准备, 安装, 凝视, 牢记, 确定, 整理\nvi. 固定, 注视, 确定\nn. 困境, 方位, 维修, 贿赂",(fiks),v,中考 高考 四级 六级 考研,21267,0.1920346076080312,0.1030704847886396,A1,1,初级,cet4
primary,"n. 最主要者, 原色\na. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的\n[计] 初等量; 主要的; 一次的",('praimәri),j,中考 高考 四级 六级 考研 托福 雅思,28506,0.104925278888655,0.5558128113379639,B2,4,中级,cet4
vegetable,"n. 蔬菜, 植物, 无精打采之人\na. 蔬菜的, 植物的",('vedʒәtәbl),n,中考 高考 托福 雅思,20978,0.0586805224520926,0.0641624559061874,B2,4,中级,cet4
topic,"n. 主题, 论题, 话题",('tɒpik),n,高考 四级 六级 考研 托福 雅思,20085,0.1427433408015932,0.5024645257654966,A2,2,初级,cet4
doubt,"n. 怀疑, 疑惑\nv. 怀疑, 不信",(daut),n,中考 高考 四级 六级 考研 托福,20050,0.3023441396508728,0.1660847880299251,A2,2,初级,cet4
hero,"n. 英雄, 超越常人者, 男主角",('hiәrәu),n,中考 高考 四级 六级 考研 雅思,19907,0.2375546290249661,0.1559752850756015,A2,2,初级,cet4
mostly,"adv. 大概, 大部分, 主要\n[经] 大部份",('mәustli),r,四级 六级 考研 托福,30731,0.139793693664378,0.1585369822003839,B1,3,中级,cet4
baseball,n. 棒球\n[计] 棒球系统,('beisbɒ:l),n,中考 高考 四级 六级 考研 雅思,30329,0.1821029377823205,0.0574697484255992,B1,3,中级,cet4
opening,"n. 开始, 口子, 穴, 揭幕\na. 开始的",('әupәniŋ),n,高考 四级 六级 考研 雅思,19459,0.1346420679377152,0.1783750449663395,B1,3,中级,cet4
proud,"a. 骄傲的, 自大的, 自豪的, 辉煌的, 壮丽的",(praud),j,中考 高考 四级 六级 考研,19313,0.2859731786879304,0.0652410293584632,A2,2,初级,cet4
prosecutor,"n. 实行者, 告发者, 公诉人\n[法] 原告, 起诉人, 检举人",('prɒsikju:tә),n,考研,18696,0.4727749251176722,0.0733846812152332,B2,4,中级,cet4
creative,"a. 有创造力的, 创作的, 产生的",(kri:'eitiv),j,四级 六级 考研,19116,0.0876752458673362,0.3803096882192927,B1,3,中级,cet4
used,"a. 使用过的, 二手的, 习惯的",('ju:st),j,中考 四级 六级 考研,20717,0.1559588743543949,0.2225225660085919,A2,2,初级,cet4
literature,"n. 文学, 文艺, 著作\n[经] 广告, 商品介绍等文学",('litәrәtʃә),n,高考 四级 六级 考研 雅思,28329,0.0369232941508701,0.7416781390094955,B2,4,中级,cet4
sauce,"n. 酱油, 调味汁, 酱\nvt. 给...调味, 使增加趣味",(sɒ:s),n,高考 四级 六级 考研 雅思,18089,0.0495881474929515,0.009950798828017,A2,2,初级,cet4
virtually,adv. 事实上,('vә:tʃuәli),r,四级 六级 考研 托福 雅思,18296,0.154623961521644,0.2636641888937472,B2,4,中级,cet4
a,,(),a,cet4,10999596,0.1918513189029851,0.1760421928223545,A1,1,初级,cet4
farm,"n. 农场, 农田\nvt. 耕种\nvi. 种田",(fɑ:m),n,中考 高考 雅思,32657,0.1000704290045013,0.1919649692255871,A2,2,初级,cet4
guest,"n. 客人, 来宾, 旅客\n[化] 客体",(gest),n,中考 高考 雅思,32313,0.3321882833534491,0.0583047070838362,A2,2,初级,cet4
strength,"n. 力量, 实力, 强度, 浓度, 人数, 抵抗力\n[化] 强度",(streŋθ),n,高考 四级 六级 考研 托福 雅思,32043,0.1190275567206566,0.288986674156602,B2,4,中级,cet4
description,"n. 描述, 说明, 种类\n[经] 说明书(物品), 品名种类, 货物名称",(di'skripʃәn),n,高考 四级 六级 考研 雅思,17598,0.0843277645186953,0.5257983861802478,B2,4,中级,cet4
presence,"n. 出席, 面前, 存在, 仪态, 风度\n[电] 出现",('prezns),n,四级 六级 考研 托福 雅思,33025,0.1014080242240726,0.3880999242997729,B1,3,中级,cet4
atmosphere,"n. 大气, 空气, 气氛\n[医] 大气; 大气压",('ætmәsfiә),n,高考 四级 六级 考研 托福,16467,0.1205441185401105,0.2470395336126799,B2,4,中级,cet4
lock,"n. 锁, 刹车, 水闸, 一缕头发\nvt. 锁, 锁上, 拘禁, 隐藏, (用锁等)拴住, 刹住\nvi. 锁住, (齿轮等)啮合, (船)过闸",(lɒk),v,中考 高考 四级 考研 雅思,16836,0.1638750296982656,0.0624257543359467,A2,2,初级,cet4
mine,"n. 矿, 矿藏, 地雷\nvt. 挖掘, 开采, 在...布雷, 破坏\nvi. 开矿, 埋设地雷\npron. 我的",(main),p,高考 托福 雅思,17218,0.2090254384945986,0.0486699965152747,A2,2,初级,cet4
schedule,"n. 时间表, 一览表, 计划表, 议事日程\nvt. 预定, 编制目录, 制...表, 安排",('skedʒuәl),n,高考 四级 六级 考研 托福 雅思,17165,0.1159335857850276,0.1838042528400815,B1,3,中级,cet4
bother,"vt. 烦扰, 迷惑\nvi. 烦恼, 操心\nn. 麻烦, 纠纷, 讨厌的人",('bɒðә),v,雅思,17139,0.2023455277437423,0.0473189801038567,B1,3,中级,cet4
creature,"n. 人, 动物, 创造物, 生物",('kri:tʃә),n,高考 四级 六级 考研,16264,0.0643753074274471,0.1387112641416625,B1,3,中级,cet4
bean,n. 豆子\n[化] 油嘴; 豆,(bi:n),n,高考 四级 六级 考研 托福,16665,0.0605460546054605,0.068046804680468,A2,2,初级,cet4
elsewhere,adv. 在别处,('elshwєә),r,四级 六级 考研 雅思,16098,0.1243011554230339,0.3171822586656727,B2,4,中级,cet4
onion,n. 洋葱\nvt. 因洋葱使掉泪,('ʌnjәn),n,高考 四级 六级 考研,15995,0.0522038136917786,0.0146295717411691,A2,2,初级,cet4
electric,"a. 电的, 导电的, 电动的\n[医] 电的",(i'lektik),j,中考 高考 四级 六级 考研,15990,0.0791744840525328,0.1657285803627267,B1,3,中级,cet4
boot,"n. 长靴, 踢, 解雇, 效用\nvt. 使穿靴, 踢, 解雇, 有用\n[计] 引导, 自举",(bu:t),n,高考 四级 考研 雅思,16370,0.0725106902871105,0.0243738546120952,A2,2,初级,cet4
put,"vt. 放, 摆, 安置, 移动, 发射, 投掷, 写上, 表达, 使从事, 使受到, 驱使, 赋予\nvi. 出发, 航行, 发芽\nn. 掷, 股票出售权, 笨蛋\na. 固定不动的\n[计] 发送文件",(put),v,中考 高考 雅思,257101,0.2890070439243721,0.0803808619958693,A2,2,初级,cet4
consideration,"n. 考虑, 原因\n[法] 考虑, 思考, 报酬",(kәn.sidә'reiʃәn),n,高考 四级 六级 考研 托福,15187,0.1091723184302363,0.5628498057549219,C1,5,高级,cet4
relative,"n. 亲戚, 关系词\na. 有关系的, 相对的, 比较的",('relәtiv),n,高考 四级 六级 考研,14625,0.1606837606837607,0.22208547008547,B1,3,中级,cet4
nearby,"a. 附近的, 近旁的\nadv. 在附近, 近旁地\nprep. 在...附近",('niәbai),j,高考 四级 六级 考研,14968,0.0839791555318011,0.1296766435061464,B1,3,中级,cet4
stone,"n. 石头, 宝石, 果核, 纪念碑, 结石\nvt. 投扔石子, 铺石头\na. 石的, 石制的, 完全的",(stәun),n,中考 高考 四级 六级 考研 雅思,39479,0.1056764355733427,0.1136047012335672,A2,2,初级,cet4
forest,"n. 森林, 林区\nvt. 植树于",('fɒrist),n,中考 高考 四级 六级 考研 雅思,39478,0.0606160393130351,0.2574851816201429,B1,3,中级,cet4
grandmother,"n. 祖母, 女祖先",('grændmʌðә),n,中考 四级 六级 考研,14727,0.1304406871732192,0.0715013240985944,B2,4,中级,cet4
reform,"n. 改革, 改正, 改造\nvt. 改革, 改过, 革新, 重整\nvi. 革新, 改过",(ri'fɒ:m),n,高考 四级 六级 考研 托福 雅思,40744,0.284802670331828,0.3589240133516591,B1,3,中级,cet4
dinner,"n. 晚餐, 正餐, 宴会",('dinә),n,中考 高考 雅思,40691,0.1046423041950308,0.0335700769211865,B1,3,中级,cet4
burden,"n. 负担, 重载, 担子, 责任\nvt. 装货于, 烦扰, 使负担",('bә:dn),n,高考 四级 六级 考研 托福,12992,0.2013546798029556,0.3124230295566502,B1,3,中级,cet4
framework,"n. 结构, 骨架, 参照标准, 准则, 观点\n[医] 构架组织",('freimwә:k),n,高考 四级 六级 考研 托福 雅思,12947,0.0525990576967637,0.7948559511856028,B2,4,中级,cet4
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付\n[经] 交运",(di'livә),v,高考 四级 考研 雅思,31985,0.1668907300297014,0.1866499921838361,B1,3,中级,cet4
collect,"v. 收集, 聚集, 集中, 搜集\na. 由收到者付款的\nadv. 由收到者付款地",(kә'lekt),v,中考 高考 四级 六级 考研,31620,0.1087919038583175,0.3488614800759013,B1,3,中级,cet4
army,"n. 军队, 陆军",('ɑ:mi),n,中考 高考 四级 考研 雅思,45866,0.1206558234858064,0.1943051497841538,A2,2,初级,cet4
awareness,"n. 意识, 认识\n[计] 识别, 议定, 明白",(ә'weәnis),n,托福 雅思,13146,0.0750798722044728,0.5445762969724631,B2,4,中级,cet4
hunting,"n. 狩猎, 猎狐, 探求\n[计] 寻找平衡; 寻找",('hʌntiŋ),n,雅思,13141,0.0685640362225097,0.1158968115059736,B1,3,中级,cet4
garlic,n. 大蒜\n[化] 大蒜,('gɑ:lik),n,高考 六级 考研,13102,0.0490764768737597,0.0079377194321477,B1,3,中级,cet4
president,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人\n[经] 总经理, 董事长, 总裁",('prezidәnt),n,中考 高考 四级 六级 考研,199016,0.3598052417896049,0.1122723801101419,B2,4,中级,cet4
live,"a. 活的, 生动的, 精力充沛的, 实况转播的\nvi. 活, 生存, 居住\nvt. 过着, 度过, 经历\nadv. 实况地",(liv.laiv),v,中考 高考 雅思,190933,0.2399689943592778,0.1304698506806052,A2,2,初级,cet4
water,"n. 水, 雨水, 海水, 水位, 水面, 流水\nvt. 给...浇水, 供以水, 注入水, 使湿\nvi. 流泪, 流口水, 加水\na. 水的, 水上的, 水生的, 含水的",('wɒ:tә),n,中考 高考 雅思,184829,0.1009040789053665,0.1878493093616261,A1,1,初级,cet4
advanced,"a. 在前的, 高级的, 先进的, 年老的\n[法] 预付的, 预支的, 垫付的",(әd'vɑ:nst),j,四级 考研 托福 雅思,12636,0.072966128521684,0.407090851535296,B2,4,中级,cet4
chart,"n. 图表, 海图\nvt. 制成图表\n[计] 图表",(tʃɑ:t),n,高考 四级 六级 考研 托福 雅思,12617,0.0940794166600618,0.154870412934929,A2,2,初级,cet4
note,"n. 笔记, 记录, 注解, 票据, 符号, 显要, 注重, 便笺, 照会\nvt. 记录, 注解, 注意",(nәut),v,中考 高考 托福,61602,0.0504366741339566,0.4455537157884484,A2,2,初级,cet4
still,"n. 蒸馏室, 寂静, 剧照\nv. 蒸馏, (使)平静, (使)静止\na. 静止的, 不动的, 静寂的, 不起泡的, 静物摄影的\nadv. 仍然, 更, 静止地\nconj. 然而, 但是",(stil),r,中考 高考 托福,322194,0.2196626876974741,0.1045860568477377,A2,2,初级,cet4
nearly,"adv. 几乎, 密切地",('niәli),r,中考 高考 托福,70781,0.124849889094531,0.1456040462836071,B1,3,中级,cet4
realize,"vt. 了解, 实现, 使显得逼真, 变卖\nvi. 变卖",('riәlaiz),v,四级 六级 托福,67516,0.1774097991587179,0.1369008827537176,B2,4,中级,cet4
profession,"n. 职业, 表白, 声明\n[化] 工种; 职业",(prә'feʃәn),n,高考 四级 六级 考研 托福 雅思,12554,0.1004460729647921,0.5508204556316711,B2,4,中级,cet4
ideal,"n. 理想, 典范, 观念, 思想, 最后目标\na. 理想的, 完美的, 空想的, 观念的, 唯心论的",(ai'diәl),j,四级 六级 考研 托福 雅思,12364,0.0701229375606599,0.3805402782271109,A2,2,初级,cet4
elderly,"a. 过了中年的, 稍老的",('eldәli),j,四级 考研 雅思,11593,0.130337272492021,0.2869835245406711,B1,3,中级,cet4
way,"n. 路, 路线, 路途, 方法, 道路, 情形, 规模, 习惯, 行业, 方面\nadv. 远远地, 非常",(wei),n,中考 高考 托福,511585,0.2525054487524067,0.1500728129245384,A1,1,初级,cet4
money,"n. 金钱, 一笔款, 财富, 货币, 金额\n[经] 货币, 金钱, 财产",('mʌni),n,中考 高考 雅思,178555,0.3068298283442077,0.0714849766178488,A2,2,初级,cet4
business,"n. 生意, 事情, 业务, 商业, 商行, 职责\n[经] 企业, 商业, 营业",('biznis),n,中考 高考 四级 六级 考研 雅思,166478,0.1985667775922344,0.1307680294092913,B1,3,中级,cet4
mortgage,"n. 抵押, 约束性义务, 抵押借款\nvt. 抵押, 以...作担保, 把...许给",('mɒ:gidʒ),n,六级 考研 雅思 GRE,11570,0.2038893690579084,0.0329299913569576,B1,3,中级,cet4
reinforce,"vt. 加强, 增援, 补充\nvi. 求援, 得到增援\nn. 加固材料",(.ri:in'fɒ:s),v,四级 六级 考研 托福 雅思 GRE,10017,0.0802635519616651,0.5629429969052611,B2,4,中级,cet4
presentation,"n. 赠与, 描述, 介绍\n[计] 简报",(.prezәn'teiʃәn),n,高考 六级 雅思 GRE,12337,0.0866499148901677,0.5217637999513658,B2,4,中级,cet4
diverse,"a. 不同的, 变化多的",(dai'vә:s),j,高考 四级 六级 考研 托福 雅思 GRE,12963,0.065802669135231,0.5734012188536605,B1,3,中级,cet4
encounter,"n. 相会, 相遇, 遭遇\nvt. 遇见, 邂逅, 会战\nvi. 偶然相遇",(in'kauntә),v,四级 六级 考研 托福 雅思 GRE,12942,0.076958738989337,0.3864935867717509,B2,4,中级,cet4
reverse,"n. 相反, 背面, 倒退, 挫折, 失败\na. 反面的, 相反的, 反向的, 颠倒的\nvt. 使颠倒, 使逆转, 使倒退, 使反向\nvi. 倒退, 反向, 倒转, 反转\n[计] 反转",(ri'vә:s),v,四级 六级 考研 托福 雅思 GRE,8815,0.1648326715825298,0.2864435621100397,B1,3,中级,cet4
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏\nvi. 伴奏, 伴唱",(ә'kʌmpәni),v,高考 四级 六级 考研 托福 雅思 GRE,14657,0.0639284983284437,0.3339701166678038,B2,4,中级,cet4
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲\nvt. 悬旗, 打旗号, 铺石板\nvi. 无力地下垂\n[计] 标志; 属性标记命令",(flæg),n,中考 高考 四级 六级 考研 托福 雅思 GRE,14632,0.2133679606342263,0.1563012575177692,A2,2,初级,cet4
enterprise,"n. 企业, 事业心, 进取心, 干事业\n[计] 企业",('entәpraiz),n,高考 六级 考研 托福 雅思 GRE,14461,0.0989558121844962,0.3768757347348039,B2,4,中级,cet4
assumption,"n. 假定, 自负, 担任, 假装\n[经] 假定, 承担",(ә'sʌmpʃәn),n,高考 四级 六级 考研 托福 雅思 GRE,14418,0.0913441531419059,0.6181856013316688,B2,4,中级,cet4
heal,"vi. 痊愈\nvt. 使复原, 使和解, 治愈",(hi:l),v,四级 六级 考研 托福 雅思 GRE,6340,0.1933753943217665,0.1288643533123028,A2,2,初级,cet4
mansion,"n. 大厦, 宅邸",('mænʃәn),n,六级 托福 雅思 GRE,5727,0.1354985158023398,0.0539549502357255,B1,3,中级,cet4
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性\nvt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算\nvi. 投, 计算, 浇铸成型",(kɑ:st. kæst),v,高考 四级 六级 考研 托福 雅思 GRE,18561,0.1393782662572059,0.1462744464199127,A2,2,初级,cet4
priority,"n. 优先权, 优先\n[计] 优先级",(prai'ɒriti),n,四级 六级 考研 托福 雅思 GRE,18211,0.1883477019383888,0.3477568502553402,B1,3,中级,cet4
particularly,"adv. 特别, 格外, 尤其, 详细地, 细致地",(pә'tikjjlәli),r,四级 六级,54165,0.1952367765162005,0.3653650881565586,B2,4,中级,cet4
suddenly,"adv. 突然, 意外, 忽然, 迅速, 即席作成, 即刻, 急速",('sʌdәnli),r,四级 六级,46174,0.1132238922337246,0.0518040455667691,B1,3,中级,cet4
pay,"n. 薪资, 付款, 补偿\nvt. 支付, 付清, 补偿, 偿还, 对...有利, 为...涂防水物\nvi. 付款, 付出代价, 偿还, 得到报应, 获得好处",(pei),v,中考 高考 雅思,144423,0.2449540585640791,0.1029475914501152,A1,1,初级,cet4
team,"n. 队, 组\nvt. 把马(牛)套在同一辆车上, 把...编成一组\nvi. 驾驶卡车, 协作",(ti:m),n,中考 高考 四级 六级 考研 托福 雅思,144261,0.1146186425991778,0.1344091611731514,A2,2,初级,cet4
congressional,"a. 会议的, 议会的, 国会的\n[法] 代表大会的, 大会的, 议会的",(kәn'greʃәnl),j,托福,16468,0.3147316006801068,0.17348797668205,C1,5,高级,cet4
eliminate,"vt. 除去, 排除, 剔除, 消除",(i'limineit),v,四级 六级 考研 托福 雅思 GRE,21196,0.1391300245329307,0.3101528590300056,B2,4,中级,cet4
cotton,"n. 棉花\nvi. 和谐, 有好感, 理解",('kɒtn),n,中考 高考 四级 考研 托福 雅思,11555,0.0585893552574643,0.1940285590653396,B1,3,中级,cet4
painful,"a. 痛苦的, 困难的, 令人烦恼的\n[医] 疼痛的",('peinful),j,高考 四级 六级 考研,10704,0.2191704035874439,0.1365844544095665,B1,3,中级,cet4
cross,"n. 十字架, 十字架形物件, 交叉, 十字标, 交叉路, 磨难, 杂交\na. 生气的, 交叉的, 相反的\nv. 交叉, 横过, 越过\n[计] 交叉, 十字标",(krɒs),v,中考 高考 四级 六级 考研 托福 GRE,29786,0.125293762170147,0.1081716242530047,A2,2,初级,cet4
assessment,"n. 评估, 估定, 评定的款额\n[化] 评估",(ә'sesmәnt),n,高考 六级 托福 雅思 GRE,29064,0.0650633085604183,0.7497591522157996,B2,4,中级,cet4
associate,"n. 同伴, 伙伴, 关联的事物\nvt. 使联合, 使发生联系\nvi. 交往\n[计] 关联",(ә'sәuʃieit),v,高考 四级 六级 考研 托福 雅思 GRE,33081,0.0751791058311417,0.656479550194976,B2,4,中级,cet4
conflict,"n. 战斗, 冲突, 矛盾, 争执\nvi. 争执, 战斗, 冲突, 抵触\n[计] 冲突",('kɒnflikt),n,高考 四级 六级 考研 托福 雅思 GRE,37058,0.1443952722758918,0.5251227805062335,B1,3,中级,cet4
track,"n. 轨迹, 足迹, 径迹, 小道, 轨道, 磁轨, 途径\nvt. 循路而行, 追踪, 通过, 用纤拉\nvi. 追踪, 留下足迹, 沿轨道运行\n[计] 跟踪",(træk),n,高考 四级 六级 考研 托福 雅思 GRE,36296,0.144781794137095,0.1003140841966056,A2,2,初级,cet4
burst,"n. 破裂, 突发, 爆发\nv. 爆裂, 突发, 充满\n[计] 二进制位组; 字符组; 脉冲串",(bә:st),v,高考 四级 六级 考研 托福,9042,0.0740986507409865,0.0510948905109489,A2,2,初级,cet4
assume,"vt. 假定, 承担, 呈现\nvi. 装腔作势, 僭越",(ә'sju:m),v,高考 四级 六级 考研 托福 雅思 GRE,38725,0.1610845706907682,0.3688573273079406,B2,4,中级,cet4
basement,"n. 地下室, 墙脚\n[化] 地下室",('beismәnt),n,高考 六级 考研 托福 雅思,8633,0.1278813853816749,0.0381095795204448,B1,3,中级,cet4
center,"n. 中心, 中心点, 中锋\na. 中央的, 位在正中的\nvt. 集中, 定中心\nvi. 居中\n[计] 居中; 中央",('sentә),n,雅思,132050,0.0747216963271488,0.2057326770162817,B1,3,中级,cet4
discover,"vt. 发现, 找到, 暴露\nvi. 发现",(dis'kʌvә),v,中考 高考 四级 六级 考研,43696,0.1354815086049066,0.2060142804833394,B1,3,中级,cet4
treat,"n. 宴请, 款待\nvt. 视为, 对待, 论述, 治疗, 款待\nvi. 讨论, 谈判, 作东",(tri:t),v,高考 四级 六级 考研 托福,43392,0.2175746681415929,0.2383158185840708,A2,2,初级,cet4
range,"n. 排, 行, 山脉, 范围, 行列, 射程\nvt. 排列, 归类于, 使并列, 放牧\nvi. 平行, 延伸, 漫游\n[计] 量程; 范围; 域; 距离",('reindʒ),n,高考 四级 六级 考研 托福 雅思,44627,0.0754251910278531,0.4052255361104264,A2,2,初级,cet4
entire,"n. 整个, 全部\na. 全体的, 完全的, 全部的",(in'taiә),j,高考 四级 六级 考研,47854,0.1876541145985706,0.2172232206294144,B1,3,中级,cet4
card,"n. 卡片, 纸牌, 节目单, 明信片, 梳棉机\nvt. 备置卡片, 记于卡片上, 梳理\n[计] 卡片, 卡",(kɑ:d),n,中考 高考 雅思,47457,0.1614724908864867,0.1164422529869144,A2,2,初级,cet4
imagine,"vt. 想像, 设想, 猜测\nvi. 想像起来",(i'mædʒin),v,中考 高考 四级 六级 考研 托福,47269,0.1963866381772409,0.1201844760836912,B2,4,中级,cet4
huge,"a. 极大的, 巨大的, 无限的",(hju:dʒ),j,中考 高考 四级 考研,46773,0.2439441558163897,0.0702328266307485,A2,2,初级,cet4
skull,"n. 头盖骨, 头脑, 好学生\n[医] 头颅",(skʌl),n,考研 托福,6944,0.0954781105990783,0.1494815668202765,A2,2,初级,cet4
camera,"n. 照相机, 摄影机, 密谈室, 暗箱\n[计] 摄影",('kæmәrә),n,中考 高考 四级 六级 考研 雅思,49111,0.3681863533627904,0.1063916434200077,B1,3,中级,cet4
seat,"n. 座, 座位, 位子, 席位, 所在地\nvt. 使坐下, 使就座, 为...设座于, 使就职\nvi. 安装在底座上",(si:t),n,中考 高考 雅思,48350,0.1458531540847983,0.0667631851085832,A2,2,初级,cet4
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员\na. 执行的, 善于执行的, 善于经营的\n[计] 执行程序",(ig'zekjutiv),n,四级 六级 考研 托福 雅思,50813,0.1372483419597347,0.1193395390943262,B2,4,中级,cet4
stage,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架\nvt. 上演, 表演, 筹划\nvi. 适于上演, 乘驿车旅行",(steidʒ),n,高考 四级 六级 考研 雅思,50213,0.1679246410292155,0.3022524047557405,A2,2,初级,cet4
latter,"a. 后者的, 较后的, 近来的",('lætә),d,高考 四级 六级 考研 托福,13338,0.0314889788573999,0.5802968960863698,B1,3,中级,cet4
statistics,"n. 统计学, 统计资料\n[计] 统计信息",(stә'tistiks),n,高考 四级 六级 考研 托福 雅思,13329,0.1310675969690149,0.3936529372045915,B2,4,中级,cet4
design,"n. 设计, 图样, 方案, 企图\nv. 设计, 计划",(di'zain),n,高考 四级 六级 考研 托福 雅思,52946,0.0412118007026026,0.4010123522079099,B1,3,中级,cet4
network,"n. 网络, 广播网, 网状物\n[计] 网络",('netwә:k),n,高考 四级 六级 考研 雅思,49261,0.1583199691439475,0.2403118085300745,B1,3,中级,cet4
compare,"vt. 比较, 比喻, 对照\nvi. 相比\nn. 比较\n[计] 比较",(kәm'pєә),v,中考 高考 四级 六级 考研 托福 雅思,52111,0.1070023603461841,0.443668323386617,B2,4,中级,cet4
sex,"n. 性别, 性欲\nvt. 区别...的性别, 引起...的性欲",(seks),n,高考 四级 六级 考研 雅思,51788,0.2224453541360933,0.2372171159341932,A1,1,初级,cet4
food,"n. 食物, 养料\n[医] 食物, 食品",(fu:d),n,中考 高考 雅思,118201,0.131335606297747,0.1653708513464353,A2,2,初级,cet4
training,"n. 训练, 培养\n[医] 训练",('treiniŋ),n,中考 高考 四级 六级 考研 雅思,54304,0.1110415439010017,0.4110562757807896,B1,3,中级,cet4
parent,"n. 父母, 父母亲, 根源\n[法] 父亲, 母亲, 根源",('perәnt),n,中考 高考 雅思,129272,0.1878210285289931,0.2409029024073271,A1,1,初级,cet4
within,"n. 内部, 里头\nadv. 在内部, 在内心里\nprep. 在...之内",(wi'ðin),i,高考 四级 六级 考研,120768,0.1216795839957604,0.4526861420243773,B1,3,中级,cet4
