word,translation,phonetic,pos,tag,total,spoken_ratio,academic_ratio,cefr_standard,difficulty_level,learning_level,dataset_type
ultimately,"adv. 最后, 最终\n[法] 最后, 终究, 总之",('ʌltimәtli),r,四级 六级 雅思,22167,0.2150042856498398,0.3284161140433978,B2,4,中级,cet6
debt,"n. 债务, 罪过\n[经] 借款, 欠款, 债务",(det),n,高考 四级 六级 考研 托福 雅思,22191,0.2327970798972556,0.1836330043711414,A2,2,初级,cet6
meat,"n. 肉, 餐, 食物\n[经] 肉类",(mi:t),n,中考 高考 雅思,22210,0.094732102656461,0.0878433138226024,A1,1,初级,cet6
fee,"n. 费用, 小费, 封地, 所有权\nvt. 付费给",(fi:),n,高考 四级 考研 雅思,22234,0.0860393991184672,0.1633084465233426,A1,1,初级,cet6
hub,"n. 毂, 木片, 中心\n[计] 插座; 插孔; 集线器, 集中器, 连接器, 中继站",(hʌb),n,托福 GRE,3509,0.067255628384155,0.1236819606725562,A1,1,初级,cet6
erect,"a. 直立的, 竖立的, 笔直的\nvt. 使竖立, 使直立, 树立, 建立\nvi. 勃起",(i'rekt),v,四级 六级 考研 托福 雅思 GRE,3427,0.0519404727166618,0.2757513860519405,A2,2,初级,cet6
artillery,"n. 火炮, 炮兵, 炮术\n[机] 火炮, 炮兵",(ɑ:'tilәri),n,雅思 GRE,3536,0.2330316742081448,0.1128393665158371,B2,4,中级,cet6
cement,"n. 水泥, 胶结剂\nvt. 胶合, 用水泥涂\nvi. 黏牢",(si'ment),n,四级 六级 考研 雅思 GRE,3539,0.0915512856739191,0.1421305453517942,B1,3,中级,cet6
foil,"n. 箔, 烘托, 衬托\nvt. 贴箔于, 衬托, 阻止, 挡开, 挫败",(fɒil),n,六级 托福 雅思 GRE,3543,0.0457239627434377,0.0683036974315551,A2,2,初级,cet6
velocity,"n. 速度, 迅速\n[化] 速度",(vi'lɒsәti),n,四级 六级 考研 托福 雅思 GRE,3553,0.0264565156206023,0.5083028426681677,B1,3,中级,cet6
exposition,"n. 阐述, 讲解, 说明, 博览会, 展览会\n[经] 展览会, 集市, 义卖市场",(.ekspә'ziʃәn),n,六级 托福 雅思 GRE,1538,0.0221066319895968,0.4057217165149545,B2,4,中级,cet6
bit,"n. 少量, 马嚼子, 辅币\nvt. 给马上嚼子, 控制\nbite的过去式和过去分词\n[计] 比特, 二进制数位, 机内测试",(bit),n,中考 高考 GRE,46187,0.4233442310606881,0.0651265507610366,A1,1,初级,cet6
candidate,"n. 候选人, 投考者\n[法] 候选, 候补者",('kændideit),n,高考 四级 六级 考研 托福 雅思 GRE,47285,0.3851115575763984,0.1448239399386697,B2,4,中级,cet6
nice,"a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的",(nais),j,中考 高考 GRE,48777,0.3582836172786354,0.0245812575599155,A2,2,初级,cet6
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交\nvi. 迁移, 移动, 搬家\nn. 班级, 升级, 移动, 搬家, 间距\n[计] 删除",(ri'mu:v),v,高考 四级 六级 考研 托福 GRE,48857,0.1058190228626399,0.1779274208404118,B1,3,中级,cet6
blue,"n. 蓝色\na. 蓝色的, 下流的, 忧郁的\nvt. 染成蓝色\nvi. 变蓝",(blu:),j,高考 GRE,51601,0.0909478498478711,0.0698629871514118,A1,1,初级,cet6
forward,"a. 向前的, 早的, 迅速的, 在前的, 进步的\nvt. 促进...的生长, 转寄, 运送\nadv. 向前地\n[计] 前推, 转信",('fɒ:wәd),r,中考 高考 GRE,52561,0.2534198360000761,0.0805540229447689,B1,3,中级,cet6
intrude,"vi. 闯入, 侵入\nvt. 强加于",(in'tru:d),v,考研 托福 GRE,1502,0.1398135818908122,0.1964047936085219,B1,3,中级,cet6
insulate,"vt. 使绝缘, 隔离\n[医] 绝缘",('insjuleit),v,六级 考研 托福 雅思 GRE,1502,0.0958721704394141,0.237017310252996,B1,3,中级,cet6
husband,"n. 丈夫, 管理人, 节俭的人\nvt. 节俭, 使成丈夫, 持有",('hʌzbәnd),n,中考 高考 GRE,65536,0.2158966064453125,0.0888824462890625,B1,3,中级,cet6
pastry,"n. 油酥点心, 面粉糕饼",('peistri),n,GRE,3805,0.0446780551905387,0.0141918528252299,B1,3,中级,cet6
burial,"n. 埋葬, 葬礼\n[法] 埋葬, 葬礼",('beriәl),n,高考 六级 托福 雅思 GRE,3695,0.1125845737483085,0.3198917456021651,B1,3,中级,cet6
lunar,"a. 阴历的, 月的, 微亮的(指光)\n[医] 月的, 银的",('lu:nә),j,四级 六级 考研 托福 雅思 GRE,3236,0.0327564894932014,0.1749072929542645,A2,2,初级,cet6
postpone,"vt. 延迟, 使延期, 缓办, 搁延\nvi. 延缓, 延缓发作",(pәust'pәun),v,高考 四级 六级 考研 托福 雅思 GRE,3238,0.2001235330450895,0.1686226065472514,B1,3,中级,cet6
brochure,"n. 小册子, 小册",('brәuʃә),n,高考 考研 托福 雅思 GRE,3249,0.0486303477993228,0.2923976608187134,B1,3,中级,cet6
premiere,"v. 初次公演, 首次露面\nn. 初次的演出\na. 首次的, 首位的",(pri'miә),n,GRE,3252,0.1482164821648216,0.0538130381303813,B1,3,中级,cet6
most,"n. 最多, 最大\na. 大多数的, 几乎全部的, 最多的\nadv. 最, 最多, 极其",(mәust),r,中考 高考 雅思,265879,0.1665419232056687,0.2658728218475321,A2,2,初级,cet6
feel,"vt. 感觉, 觉得, 触摸, 以为\nvi. 有知觉, 摸索, 同情\nn. 感觉, 觉得, 触摸",(fi:l),v,中考 高考 雅思,298414,0.2257300260711628,0.0914367288397997,A2,2,初级,cet6
world,"n. 世界, 地球, 宇宙, 万物, 世人, 人间, 领域, 世事, 世故, 社会生活, 大量\n[法] 世界, 地球, 世人",(wә:ld),n,中考 高考 雅思,328689,0.2015735239086188,0.2350519792265637,A2,2,初级,cet6
call,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求\nvt. 呼叫, 召集, 打电话\nvi. 叫喊, 访问, 叫牌\n[计] 调用; 呼叫; DOS内部命令:在批处理文件中调用另一个批处理文件",(kɒ:l),v,中考 高考 雅思,333570,0.2484366100068951,0.1114368798153311,A2,2,初级,cet6
child,"n. 孩子, 产物, 追随者\n[医] 儿童",(tʃaild),n,中考 高考 雅思,360478,0.1974544909814191,0.2669122664906041,A1,1,初级,cet6
good,"n. 善行, 好处, 利益\na. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的",(gud),j,中考 高考 雅思,386236,0.3345830010667053,0.0892925568823206,A2,2,初级,cet6
back,"a. 后面的\nvt. 使后退, 支持\nvi. 倒退, 背靠\nadv. 向后地\nn. 背部, 后面",(bæk),r,中考 高考 雅思,399602,0.2913198632639476,0.0442565352525763,A2,2,初级,cet6
spike,"n. 长钉, 鞋钉, 钉状物, 尖峰状物, 穗\nvt. 以大钉钉牢, 用尖物刺穿, 阻止, 弃置不用\n[计] 尖峰信号",(spaik),n,托福 GRE,3619,0.0795799944736115,0.0715667311411992,A2,2,初级,cet6
slump,"n. 暴跌, 垂头弯腰的姿态\nvi. 猛然掉落, 陷入, 衰落(经济等)",(slʌmp),v,托福 GRE,3284,0.0490255785627283,0.0237515225334957,A2,2,初级,cet6
stalk,"n. 茎, 追踪, 高视阔步\nvi. 悄悄靠近, 蹑手蹑脚地走近, 蔓延, 高视阔步\nvt. 追踪, 搜索",(stɒ:k),v,六级 考研 托福 GRE,3289,0.1453329279416235,0.0629370629370629,A2,2,初级,cet6
maternal,"a. 母亲的, 母系的, 母方的\n[医] 属母的, 母的, 母性的",(mә'tә:nl),j,托福 雅思 GRE,3168,0.0495580808080808,0.5126262626262627,B1,3,中级,cet6
groan,"n. 呻吟, 叹息\nvi. 呻吟, 抱怨, 受压迫\nvt. 呻吟地说",(grәun),v,四级 六级 考研 雅思 GRE,3173,0.029940119760479,0.0321462338480932,A2,2,初级,cet6
gauge,"n. 标准度量, 计量器\nvt. 精确计量, 估计\n[计] 线规",(geidʒ),n,四级 六级 考研 托福 雅思 GRE,3816,0.0759958071278826,0.2361111111111111,A2,2,初级,cet6
configuration,"n. 结构, 表面配置, 外形, 配置\n[计] 配置",(kәn.figju'reiʃәn),n,六级 托福 雅思 GRE,3834,0.0271257172665623,0.5529473135106938,C1,5,高级,cet6
denounce,"vt. 告发, 抨击, 谴责\n[法] 谴责, 斥责, 告发",(di'nauns),v,六级 考研 托福 雅思 GRE,3841,0.1986461858890914,0.2668575891694871,B1,3,中级,cet6
bring,"vt. 带来, 产生, 促使, 提出\nvi. 生产",(briŋ),v,中考 高考 雅思,189593,0.2480629559108195,0.1406539270964645,A2,2,初级,cet6
night,"n. 夜, 夜晚, 晚上, 黑暗, 夜晚的工作\n[法] 夜, 黑夜, 黑暗",(nait),n,中考 高考 雅思,198607,0.2291661421802857,0.0353310809790188,A1,1,初级,cet6
house,"n. 房子, 住宅, 机构, 议院, 家族, 家庭\nvt. 给...房子住, 收藏\nvi. 住, 躲藏",(haus),n,中考 高考 托福 雅思,213652,0.1178318012468874,0.0760676239866699,A2,2,初级,cet6
system,"n. 系统, 体系, 制度, 方式, 秩序, 分类原则\n[计] 系统; 体制; 体系",('sistәm),n,高考 四级 六级 考研 托福 雅思,215748,0.1349352021803214,0.3963976491091459,B1,3,中级,cet6
case,"n. 情形, 情况, 箱, 容器, 事实, 病例, 案例, 框子\nvt. 装箱, 包盖",(keis),n,高考 雅思,216637,0.2926323758176119,0.2941510452969714,A2,2,初级,cet6
company,"n. 公司, 友伴, 交往, 连队, 朋友, 一群\nvt. 陪伴\nvi. 交往",('kʌmpәni),n,中考 高考 托福 雅思,217148,0.1476228194595391,0.0999318437194908,B1,3,中级,cet6
against,"prep. 反对, 对着, 倚靠",(ә'geinst),i,中考 高考 四级 考研,219689,0.2005607927570338,0.1693530399792434,B1,3,中级,cet6
hand,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手\nvt. 交给, 支持, 搀扶",(hænd),n,中考 高考 雅思,242773,0.1092831575175163,0.1031539751125537,A1,1,初级,cet6
beverage,n. 饮料\n[化] 饮料(如牛奶、茶、咖啡、啤酒等),('bevәridʒ),n,考研 托福 雅思 GRE,3225,0.0741085271317829,0.1395348837209302,B1,3,中级,cet6
pier,"n. 码头, 桥墩, 支框, 防波堤\n[医] 桥基, 基牙",(piә),n,六级 雅思 GRE,3767,0.0390230953013007,0.0891956464029731,A2,2,初级,cet6
mammal,n. 哺乳动物\n[化] 哺乳动物,(mæmәl),n,六级 考研 托福 雅思 GRE,3772,0.069459172852598,0.3966065747613997,B1,3,中级,cet6
gratitude,n. 感激之情,('grætitju:d),n,四级 六级 考研 托福 雅思 GRE,3034,0.1226104152933421,0.1756756756756756,B2,4,中级,cet6
tout,"vi. 招徕顾客, 兜售物品\nvt. 招徕, 刺探...情报\nn. 兜售者, 侦查者",(taut),v,GRE,3118,0.1144964720974984,0.1289288005131494,A2,2,初级,cet6
complicate,"vt. 弄复杂, 使错综, 使恶化\nvi. 变复杂",('kɒmplikeit),v,四级 六级 考研 托福 GRE,3914,0.1371997956055186,0.4090444557996934,B2,4,中级,cet6
circulate,"v. (使)流通, (使)循环, (使)传播",('sә:kjuleit),v,高考 四级 六级 考研 托福 雅思 GRE,3939,0.1205889819751206,0.314039096217314,B2,4,中级,cet6
utter,"a. 全然的, 绝对的, 完全的\nvt. 发出声音, 做声, 发表, 发射, 流通",('ʌtә),v,四级 六级 考研 托福 GRE,3061,0.0813459653707938,0.1581182620058804,A2,2,初级,cet6
orchard,"n. 果园, 果树林",('ɒ:tʃәd),n,六级 考研 托福 雅思 GRE,3071,0.040703353956366,0.1198306740475415,B1,3,中级,cet6
responsive,"a. 回答的, 应答的, 易感应的",(ri'spɒnsiv),j,托福 雅思 GRE,3074,0.1226415094339622,0.4235523747560182,B2,4,中级,cet6
side,"n. 旁边, 侧, 方面, 胁, 侧边, 血统\na. 旁的, 侧的, 次要的\nvt. 同意, 支持\nvi. 支持, 赞助",(said),n,中考 高考 雅思,165909,0.1911529814536884,0.1042318379352536,A2,2,初级,cet6
war,"n. 战争, 战争状态, 战术, 军事, 冲突, 斗争, 竞争\nvi. 进行战争, 作战, 打仗, 战斗\na. 战争的, 战时用的",(wɒ:),n,中考 高考 四级 六级 考研,168673,0.246666627142459,0.2365998114695298,A1,1,初级,cet6
fact,"n. 事实, 真实性, 真相, 细节, 论据",(fækt),n,中考 高考 四级 考研,173796,0.3520449262353564,0.219504476512693,A2,2,初级,cet6
month,n. 月\n[经] 月,(mʌnθ),n,中考 高考 雅思,177639,0.2284464560147265,0.0994995468337471,A1,1,初级,cet6
story,"n. 故事, 小说, 传奇, 描述, 阅历, 经历, 层",('stɒ:ri),n,中考 高考 雅思,178828,0.3269398528194689,0.1500156575032992,A2,2,初级,cet6
room,"n. 房间, 空位, 场所\nvi. 住宿, 居住\nvt. 留宿",(ru:m),n,中考 高考 雅思,185952,0.1072749956978144,0.0544387799001893,A2,2,初级,cet6
intimidate,"vt. 威胁, 恐吓\n[法] 恐吓, 威胁, 使恐惧",(in'timideit),v,四级 六级 考研 托福 雅思 GRE,3139,0.2653711373048741,0.1201019432940427,B2,4,中级,cet6
imminent,"a. 即将来临的, 逼近的",('iminәnt),j,托福 雅思 GRE,3147,0.223069590085796,0.2326024785510009,B1,3,中级,cet6
plague,"n. 瘟疫, 天罚, 麻烦, 灾祸\nvt. 折磨, 使苦恼, 使得灾祸",(pleig),v,六级 考研 托福 雅思 GRE,3157,0.1102312321824516,0.2334494773519163,B1,3,中级,cet6
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记\nvt. 记录, 摘录, 测定时间\na. 微小的, 详细的",('minit. mai'nju:t),n,中考 高考 托福 雅思,141846,0.2044118269108751,0.0526063477292274,B1,3,中级,cet6
include,"vt. 包括, 把...算入, 包住\n[计] DOS内部命令:在CONFIG.SYS文件的一个配置块中包含另一配置块的内容",(in'klu:d),v,中考 高考 四级 六级 考研,145280,0.068226872246696,0.4115363436123348,B1,3,中级,cet6
end,"n. 结束, 终点, 目标, 末端, 梢, 死亡, 残余\nv. 结束, 终结, 终止\n[计] 端; 结束",(end),n,中考 高考 雅思,146344,0.1784630733067293,0.1839296452194828,A1,1,初级,cet6
line,"n. 列, 线, 绳, 电线, 线路, 路线, 航线, 作业线, 界线, 战线, 外形, 排, 家系\nvt. 排成一行, 顺...排列, 划线于, 加衬里, 使有线条, 使起皱纹\nvi. 排队\n[计] 线路",(lain),n,中考 高考 四级 六级 考研 雅思,147405,0.1772802822156643,0.1550015264068383,A2,2,初级,cet6
important,"a. 重要的, 有地位的, 大量的, 显要的, 自负的\n[计] 要点",(im'pɒ:tәnt),j,中考 高考 雅思,155792,0.2364177878196569,0.3678815343534969,B1,3,中级,cet6
royalty,"n. 皇室, 王族成员, 王权, 特权阶层, 庄严\n[经] 特许权, 使用费, 使用税",('rɒiәlti),n,六级 考研 GRE,3034,0.1539222148978246,0.1509558338826631,B1,3,中级,cet6
conform,"vt. 使一致, 使遵守, 使符合\nvi. 一致, 符合, 适应",(kәn'fɒ:m),v,六级 考研 托福 雅思 GRE,3041,0.0559026635975008,0.5669187767181848,B1,3,中级,cet6
cylinder,"n. 圆筒, 圆筒状物, 汽缸, 柱面\n[计] 柱面",('silindә),n,六级 考研 托福 雅思 GRE,3049,0.0439488356838307,0.2230239422761561,B1,3,中级,cet6
mourn,"v. 哀悼, 忧伤, 服丧",(mɒ:n),v,高考 四级 六级 考研 雅思 GRE,3051,0.2002622091117666,0.1661750245821042,A2,2,初级,cet6
cater,"v. 提供饮食及服务, 投合, 迎合",('keitә),v,高考 六级 考研 托福 雅思 GRE,3012,0.098937583001328,0.150066401062417,A2,2,初级,cet6
compatible,"a. 能共处的, 可并立的, 适合的\n[计] 相容的; 兼容的",(kәm'pætәbl),j,六级 考研 托福 雅思 GRE,3021,0.0619000331016219,0.4879179079774909,B2,4,中级,cet6
void,"n. 空虚, 空间, 空白, 空隙, 空虚感\na. 空的, 无效的, 无人的, 没有的, 无用的\n[计] 脱墨; 空白点",(vɒid),n,六级 考研 托福 雅思 GRE,3030,0.1,0.2151815181518152,A2,2,初级,cet6
upgrade,"n. 上坡, 升级, 上升\nadv. 往上\nvt. 使升级, 提升, 改良品种\nvi. 升级\n[计] 升级",('ʌpgreid),v,六级 考研 托福 GRE,4015,0.0976338729763387,0.1760896637608966,C1,5,高级,cet6
lounge,"n. 闲逛, 休闲室, 长沙发\nvi. 闲混, (懒洋洋地)躺\nvt. 闲混",(laundʒ),n,高考 六级 考研 雅思 GRE,4040,0.070049504950495,0.0222772277227722,B1,3,中级,cet6
crumb,"n. 碎屑, 面包屑, 少许\nvt. 捏碎, 弄碎",(krʌm),n,雅思 GRE,3082,0.072031148604802,0.026930564568462,A2,2,初级,cet6
credible,"a. 可信的, 可靠的\n[法] 可信的, 可靠的",('kredәbl),j,雅思 GRE,3998,0.3791895947973987,0.2568784392196098,B1,3,中级,cet6
excel,"vt. 胜过, 优于, 擅长\nvi. 胜过其他",(ik'sel),v,六级 考研 托福 雅思 GRE,2995,0.0587646076794657,0.2697829716193656,A2,2,初级,cet6
superb,"a. 极度的, 华丽的, 极好的",(sju'pә:b),j,高考 六级 考研 托福 雅思 GRE,2996,0.1211615487316421,0.1184913217623498,B1,3,中级,cet6
elusive,"a. 难懂的, 易忘的, 难以捉摸的",(i'lu:siv),j,托福 GRE,3002,0.0782811459027315,0.2698201199200533,B1,3,中级,cet6
mediate,"a. 居间的, 间接的\nvt. 斡旋, 调停\nvi. 处于中间, 调解",('mi:dieit),v,六级 托福 雅思 GRE,2939,0.0561415447431099,0.7192922762844505,C1,5,高级,cet6
fang,"n. 尖牙, 犬牙\n[医] 牙根, 尖牙, 蛇类毒牙",('fæŋ),n,GRE,1546,0.0252263906856403,0.1332470892626132,A2,2,初级,cet6
embryonic,"a. 萌芽的, 初期的, 未成熟\n[医] 胚胎的",(.embri'ɒnik),j,托福 GRE,1548,0.2616279069767442,0.2260981912144702,B2,4,中级,cet6
overhaul,"vt. 分解检查, 翻修, 精细检查, 彻底革新\nn. 分解检查, 精细检查, 大检修",(.әuvә'hɒ:l),n,考研 托福 雅思 GRE,1557,0.1528580603725112,0.0918432883750802,B1,3,中级,cet6
lead,"n. 铅, 铅条, 领导, 超前量, 领引, 榜样, 主角, 导线\nvt. 引导, 带领, 领导, 指挥, 致使, 加铅于, 用铅包\nvi. 领导, 带头, 导致, 用测深锤测深, 被铅覆盖\na. 带头的, 最重要的",(li:d. led),v,中考 高考 四级 考研 托福,133408,0.1390096545934276,0.2622631326457184,A2,2,初级,cet6
learn,vt. 学习；认识到；得知,(lә:n),v,中考 高考 雅思,135474,0.1674712490957674,0.2716683644094069,A2,2,初级,cet6
set,"n. 日落, 同伙, 组合, 集合, 装置\nvt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整\nvi. 日落, 凝固, 定型, 搁住, 结果, 适合\na. 决心的, 规定的, 故意的, 持久的, 固定的, 老套的, 准备好的\n[计] 设置; DOS内部命令:改变或显示分配给环境变量的值",(set),v,中考 高考 雅思,135924,0.1482740354904211,0.1585959801065301,A1,1,初级,cet6
best,a. 最好的\nadv. 最好地\nn. 最好的人,(best),j,雅思,136214,0.1943779640859236,0.1127123496850544,A2,2,初级,cet6
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉\n[计] 信息",(.infә'meiʃәn),n,中考 高考 雅思,136869,0.1683580650110689,0.3946474365999605,B2,4,中级,cet6
face,"n. 脸, 面容, 正面, 外观\nvt. 面对, 朝, 正视, 面临\nvi. 朝, 向\n[计] 现场可改变的控制元件",(feis),n,中考 高考 托福 雅思,137165,0.098283089709474,0.0711697590493201,A1,1,初级,cet6
nothing,"n. 无, 不关紧要之事, 零\nadv. 毫不, 决不\ninterj. 什么也没有, 无",('nʌθiŋ),p,中考 高考 雅思,137198,0.2037566145279085,0.0838058863831834,B1,3,中级,cet6
kid,"n. 小山羊, 小山羊肉, 小孩, 欺骗\na. 小山羊皮制的\nv. 哄骗, 嘲弄",(kid),n,中考 高考 四级 考研,138349,0.2944799022761277,0.0250236720178678,A1,1,初级,cet6
health,"n. 健康, 卫生, 蓬勃, 健康状态\n[医] 健康",('helθ),n,中考 高考 雅思,139598,0.1980114328285505,0.3423759652717087,B1,3,中级,cet6
shack,"n. 陋屋, 棚屋\nvi. 居住, 暂住",(ʃæk),n,GRE,2826,0.0718329794762915,0.0580325548478414,A2,2,初级,cet6
autonomous,a. 自治的\n[医] 自主的,(ɒ:'tɒnәmәs),j,高考 托福 GRE,2844,0.0464135021097046,0.6838959212376934,B2,4,中级,cet6
harass,"vt. 使困扰, 使烦恼, 折磨",('hærәs),v,考研 托福 雅思 GRE,2849,0.3036153036153036,0.1579501579501579,B1,3,中级,cet6
unconscious,"a. 未意识到的, 无意识的, 无知觉的\n[医] 人事不省的, 神志丧失的; 无意识的",(.ʌn'kɒnʃәs),j,高考 四级 六级 托福 雅思 GRE,4238,0.1000471920717319,0.3053327041057102,B2,4,中级,cet6
benign,"a. 善良的, 良性的\n[医] 良性的",(bi'nain),j,六级 考研 托福 GRE,2955,0.1005076142131979,0.3516074450084602,B1,3,中级,cet6
airborne,"a. 升空的, 空运的, 空中传播的, 空降的",('єәbɒ:n),j,托福 GRE,2899,0.2017937219730941,0.1648844429113487,B1,3,中级,cet6
blunt,"a. 钝的, 坦率的, 麻痹的",(blʌnt),j,六级 考研 托福 雅思 GRE,2907,0.1833505331957344,0.0939112487100103,A2,2,初级,cet6
relentless,"a. 无情的, 冷酷的, 残酷的",(ri'lentlis),j,托福 雅思 GRE,2916,0.1296296296296296,0.1406035665294924,B2,4,中级,cet6
education,"n. 教育, 训练, 教育学\n[医] 教育, 训练",(.edju'keiʃәn),n,中考 高考 四级 考研 托福 雅思,126010,0.0868581858582652,0.6238790572176811,B2,4,中级,cet6
research,"n. 研究, 调查, 考察\nvi. 研究, 调查",(ri'sә:tʃ),n,中考 高考 四级 六级 考研 雅思,126662,0.0776239124599327,0.571568426205176,B1,3,中级,cet6
add,"vt. 增加, 添加, 附带说明, 计算...总和\nvi. 做加法, 积累而成, 增添\n[计] 加法",(æd),v,中考 高考 四级 考研,130070,0.0900053817175367,0.1343122933804874,A1,1,初级,cet6
public,"n. 公众, 民众\na. 公众的, 公共的, 公立的, 公用的",('pʌblik),j,中考 高考 四级 六级 考研 雅思,130442,0.18109197957713,0.3373989972554852,B2,4,中级,cet6
snatch,"n. 抢夺, 攫取, 片断\nvt. 夺取, 攫取\nvi. 想抢走, 攫取",(snætʃ),v,高考 六级 考研 雅思 GRE,4076,0.067468105986261,0.0318940137389597,B1,3,中级,cet6
lumber,"n. 木材, 破旧家俱, 废物, 隆隆声\nvt. 砍伐木材, 乱堆\nvi. 笨拙地移动, 喧闹地向前走, 隆隆地移动",('lʌmbә),n,四级 六级 考研 托福 GRE,2971,0.0696735106024907,0.1928643554358801,B1,3,中级,cet6
caucus,"n. 领导人会议, 核心会议\nvi. 开核心会议",('kɒ:kәs),n,GRE,2980,0.3838926174496644,0.0973154362416107,B1,3,中级,cet6
palette,"n. 调色板, 颜料\n[计] 调色板",('pælit),n,托福 GRE,2985,0.0217755443886097,0.0904522613065326,B1,3,中级,cet6
terminate,"a. 有结尾的, (可)结束的\nvi. 结束, 终止, 满期\nvt. 使停止, 使结束, 使终止\n[计] 终止",('tә:mineit),v,六级 考研 托福 雅思 GRE,2765,0.1518987341772152,0.3468354430379747,B2,4,中级,cet6
precede,"vt. 在...之前, 优于, 较...优先\nvi. 在前面",(.pri:'si:d),v,六级 考研 托福 GRE,4357,0.0798714711957769,0.4413587330732155,B1,3,中级,cet6
injection,"n. 注射, 注射剂\n[化] 注入; 注射",(in'dʒekʃәn),n,四级 六级 雅思 GRE,4427,0.1504404788796024,0.3641292071380167,B2,4,中级,cet6
fall,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天\nvi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低\na. 秋天的",(fɒ:l),v,中考 高考 雅思,105127,0.1280546386751263,0.1150037573601453,A2,2,初级,cet6
nation,"n. 国家, 民族\n[法] 民族, 国家",('neiʃәn),n,高考 四级 六级 考研,105498,0.2678818555802005,0.2522417486587423,B1,3,中级,cet6
experience,"n. 经历, 经验, 体验\nvt. 经历, 经验, 体验",(ik'spiәriәns),n,中考 高考 四级 六级 考研 雅思,106431,0.1285057924852721,0.4716295064407926,B2,4,中级,cet6
appear,"vi. 出现, 显得, 来到\n[法] 出庭, 到案, 出现",(ә'piә),v,中考 高考 四级 考研 托福,107943,0.1181549521506721,0.2954985501607329,B1,3,中级,cet6
market,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路\nvt. 在市场上交易, 使上市, 销售\nvi. 在市场上买卖",('mɑ:kit),n,中考 高考 雅思,108070,0.1551957064865365,0.2427038030905894,B1,3,中级,cet6
